Source,Citations
Campbell-1997[167],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 167. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[169],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 169. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[172],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 172. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[173];Kaufman-1994[53],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 173. Oxford: Oxford University Press. ISBN 0195094271, Kaufman, Terrence. 1994. The native languages of South America, Atlas of the World's Languages, 1 edn., 53. London: Routledge. ISBN 0415019257"
Campbell-1997[177],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 177. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[178],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 178. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[184],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 184. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[185],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 185. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[185];Kaufman-1994[63],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 185. Oxford: Oxford University Press. ISBN 0195094271, Kaufman, Terrence. 1994. The native languages of South America, Atlas of the World's Languages, 1 edn., 63. London: Routledge. ISBN 0415019257"
Campbell-1997[186],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 186. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[187],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 187. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[188],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 188. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[189],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 189. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[193],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 193. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[195],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 195. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[198],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 198. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[199],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 199. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[200-202],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 200-202. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[202-203],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 202-203. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[205],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 205. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[310],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 310. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[318],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 318. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997,"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America. Oxford: Oxford University Press. ISBN 0195094271"
,"Campbell, Lyle. 1997. Chapter 4: Languages of North America. In Lyle  Campbell, American Indian Languages: The Historical Linguistics of Native America, 107-155. Oxford: Oxford University Press. ISBN 0195094271"
,"Campbell, Lyle. 1997. Chapter 5: Languages of Middle America. In Lyle  Campbell, American Indian Languages: The Historical Linguistics of Native America, 156-169. Oxford: Oxford University Press. ISBN 0195094271"
,"Campbell, Lyle. 1997. Chapter 6: Languages of South America. In Lyle  Campbell, American Indian Languages: The Historical Linguistics of Native America. Oxford: Oxford University Press. ISBN 0195094271"
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Hardman, Martha J. 1986. De Donde Vino el Jaqaru, 16. Gainesville, FL: Andean Press Qillq Imprenta. , Hardman, M J. 1975. Proto-Jaqi: reconstrucción del sistema de personas gramaticales, Revista del Museo Nacional, vol. 41, 433-56. , Hardman, M J. 1978. La familia lingüística andina jaqi: jaqaru, kauki, aymara, Vicus Cuardenos: Lingüística, vol. 2, 5-28. , Hardman, M J. 1978. Jaqi: the linguistic family, IJAL, vol. 44, 146-53."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 63-64. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 63. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 63. London, New York: Routledge. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 69. London, New York: Routledge. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 63-64. London, New York: Routledge. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 72-73. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 64-65. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 65-67. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 65. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 68. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 69-70. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 69. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 70-71. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 70. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 70. London, New York: Routledge. , Fabre, Alain. 2005. Diccionario Etnolingüístico y Guía Bibliográfica de los Pueblos Indígenas Sudamericanos. http://butler.cc.tut.fi/~fabre/BookInternetVersio/Alkusivu.html.  (12 February, 2012.)"
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 71. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 72-73. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 72. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 73-74. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 74-75. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 74. London, New York: Routledge."
,"Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter. , Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 75-76. London, New York: Routledge."
,"Capell, Arthur  & André G Haudricourt. 1962. Comment on Capell, Oceanic Linguistics Today, Current Anthropology, vol. 3:4, 410. Chicago: University of Chicago Press."
,"Capell, Arthur  & Howard HJ Coate. 1984. Comparative studies in Northern Kimberley languages. Canberra: Research School of Pacific Studies, Australian National University. ISBN 085883314X"
,"Capell, Arthur. 1975. The ""West Papuan Phylum"": General, and timor and Areas Further West. In Stephen A Wurm (ed.),  Papuan languages and the New Guinea linguistic scene: New Guinea area languages and language study, vol. 1, 667-716. Canberra: Dept. of Linguistics, Research School of Pacific Studies, Australian National University."
,"Castro, Andy  & Gu  Chaowen. 2010. Phonological innovation among Hmong dialects of Wenshan, Journal of the Southeast Asian Linguistics Society, vol. 3.1, 1-39."
,"Castro, Andy , Royce  Flaming & Luo  Youliang. 2012. A Phonological and Lexical Comparison of Western Miao Dialects in Honghe."
,"Castrén, Matthias Alexander. 1854. Grammatik der Samojedischen Sprachen. 1966. Bloomington: Indiana University."
,"Catford, J. C. 1991. The Classification of Caucasian Laguages. In Sydney M. Lamb & E. Douglas Mitchell (eds.), Sprung from Some Common Source, 232-268. Stanford, California: Stanford University Press."
,"Chadwick, Neil. 1997. The Barkly and Jaminjungan Languages: a Non-Contiguous Genetic Grouping in North Australia. In Darrell T Tryon & Michael  Walsh (eds.), Boundary Rider: Essays in Honour of Geoffrey O'Grady, 95-106. Canberra: Pacific Linguistics."
,"Clark, Ross. 1985. Languages of North and Central Vanuatu: Groups, Chains, Clusters and Waves, Austronesian Linguistics at the 15th Pacific Science Congress, vol. C-88, 199-236. Canberra, Australia: Pacific Linguistics. ISBN 0858833298"
,"Collinder, Björn. 1940. Jukagirisch und Uralisch. In Uppsala Universitets Årsskrift, vol. 8, 1-19,102-108. Uppsala: Almquist & Wiksells Boktryckeri-A.-B."
,"Collinder, Björn. 1957. Preface, Survey of the Uralic Languages, V-IX. Stockholm: Almquist & Wiksell."
,"Collinder, Björn. 1965. Introduction. In Björn  Collinder, An Introduction to the Uralic Languages, 7-36. Berkeley, Los Angeles: University of California Press."
,"Comrie, Bernard  & Greville G. Corbett (eds.). 2002. The Slavonic Languages, Paperback edn. London: Routledge. ISBN 0-415-28078-8"
,"Comrie, Bernard. 1981. Uralic Languages. In Bernard  Comrie, The Languages of the Soviet Union, 92-141. Cambridge: Cambridge University Press. ISBN 0-521-23230-9"
,"Comrie, Bernard. 2008. Why the Dene-Yeniseic Hypothesis is Exciting. Fairbanks and Anchorage, Alaska : Dene-Yeniseic Symposium. , Vajda, Edward J. 2010. A Siberian link with Na-Dene languages. In James  Kari & Ben A. Potter (eds.), The Dene-Yeniseian Connection, 33-99. Fairbanks, Alaska: Anthropological Papers of the University of Alaska."
,"Connell, Bruce. 1994. The Lower Cross Languages: A Prolegomena to the Classification of the Cross River Languages, Journal of West African Languages, vol. XXIV. 1, 3-46."
,"Conrady, August. 1896.  Eine Indochinesische Causativ-Denominativ-Bildung und ihr Zussamenhang mit den Tonaccenten. Leipzig: Otto Harrassowitz."
,"Cooper, Doug  & Paul James Sidwell. 2007. Mon-Khmer. Bangkok, Thailand: Mon-Khmer Languages Project, Centre for Research in Computational Linguistics ."
,"Crowley, Terry T., John  Lynch & Malcolm D. Ross. 2002. The Micronesian family, The Oceanic Languages, 117-119. Surrey: Curzon Press."
,"Crowley, Terry T., John  Lynch & Malcolm D. Ross. 2002. The Southeast Solomonic family, The Oceanic Languages, 110-111. Surrey: Curzon Press."
,"Crowley, Terry T., John  Lynch & Malcolm D. Ross. 2002. The Southern Oceanic linkage, The Oceanic Languages, 112-114. Surrey: Curzon Press."
,"Csató, Éva Á & Lars  Johanson (eds.). 1998. The History of Turkic. In Éva Á Csató & Lars  Johanson (eds.), The Turkic Languages, 81-125. New York: Routledge. ISBN 0-415-08200-5"
,"Cui, Jianxin  & Lin  Shi. 1988. An investigation of the Ai-Cham language. In Jerold A. Edmondson & David B. Solnit, Comparative Kadai: Linguistic studies beyond Tai, 59–85. ISBN 0-88312-066-6"
,"Czaykowska-Higgins, Ewa  & M. Dale Kinkade (eds.). 1998. Salish Languages and Linguistics: Theoretical and Descriptive Perspectives. Berlin: Mouton de Gruyter."
,"Dahl, Otto Christian. 1973. Proto-Austronesian. ISBN 9144097516"
,"Delafosse, Maurice. 1901. Essai de manuel pratique de la langue mandé ou mandingue. Paris: Paris E. Leroux."
,"Delafosse, Maurice. 1914. Esquisse générale des langues de l'Afrique et plus particulièrement de l'Afrique Française. Paris: Masson & Cie."
,"Di Carlo, Pierpaolo , Jeff  Good, Jesse  Lovegren, Jean Patrick  Mve, Carine  Nganguep Tchiemouo & Rebecca  Voll. 2011. The Languages of the Lower Fungom Region of Cameroon: Grammatical Overview, Africana Linguistica, vol. XVII, 101-164. Tervuren, Belgium.: Tervuren’s African Linguistics department in collaboration with Peeters Publishers, Leuven, Belgium."
,"Diffloth, Gerard Felix. 2005. The Contribution of Linguistic Palaeontology to the Homeland of Austro-Asiatic, The Peopling of East Asia: Putting together archaeology, linguistics and genetics, 77-80. New York: Routledge. ISBN 0-415-32242-1"
,"Diller, Anthony V. N. 2008. Introduction. In Anthony V. N. Diller, Jerold A. Edmondson & Yongxian  Luo (eds.), The Tai-Kadai Languages, 3–8. London: Routledge. ISBN 978-0-7007-1457-5"
,"Dolgopolsky, Aharon. 1998. The Nostratic Macrofamily and Linguistic Paleontology, 5-8. England: The McDonald Institute for Archaeological Research. ISBN 0951942077"
,"Donohue, Mark. . The pretenders in the Muna-Buton group. In John  Bowden & Nikolaus P. Himmelmann (eds.), Papers in Austronesian Subgrouping, 21-35. Canberra: Pacific Linguistics. ISBN 0029-8115"
,"Downer, Gordon B. 1991. The Relationship between the Yao and the Miao Languages. In Chiao  Chien & Jacques  Lemoine (eds.), The Yao of South China: Recent International Studies, 39-45. Paris: Pangu, Editions de l'A.F.E.Y."
wals[584-585],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 584-585. New York: Oxford University Press. ISBN 0199255911"
wals[585-590],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 585-590. New York: Oxford University Press. ISBN 0199255911"
wals[585],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 585. New York: Oxford University Press. ISBN 0199255911"
wals[590],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 590. New York: Oxford University Press. ISBN 0199255911"
wals[591-593],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 591-593. New York: Oxford University Press. ISBN 0199255911"
wals[593-595],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 593-595. New York: Oxford University Press. ISBN 0199255911"
wals[595-596],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 595-596. New York: Oxford University Press. ISBN 0199255911"
wals[596-598],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 596-8. New York: Oxford University Press. ISBN 0199255911"
wals[599-600],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 599-600. New York: Oxford University Press. ISBN 0199255911"
wals[599],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 599. New York: Oxford University Press. ISBN 0199255911"
wals[600],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 600. New York: Oxford University Press. ISBN 0199255911"
wals[601],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 601. New York: Oxford University Press. ISBN 0199255911"
wals[602-605],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 602-605. New York: Oxford University Press. ISBN 0199255911"
wals[602],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 602. New York: Oxford University Press. ISBN 0199255911"
wals[605-606],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 605-606. New York: Oxford University Press. ISBN 0199255911"
wals[605],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 605. New York: Oxford University Press. ISBN 0199255911"
wals[606-611],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 606-11. New York: Oxford University Press. ISBN 0199255911"
wals[606],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 606. New York: Oxford University Press. ISBN 0199255911"
wals[611-612],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 611-612. New York: Oxford University Press. ISBN 0199255911"
wals[612],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 612. New York: Oxford University Press. ISBN 0199255911"
wals[613],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 613. New York: Oxford University Press. ISBN 0199255911"
wals[614-615],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 614-615. New York: Oxford University Press. ISBN 0199255911"
wals[614],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 614. New York: Oxford University Press. ISBN 0199255911"
wals[615-617],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 615-617. New York: Oxford University Press. ISBN 0199255911"
wals[615],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 615. New York: Oxford University Press. ISBN 0199255911"
wals[617],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 617. New York: Oxford University Press. ISBN 0199255911"
wals[618],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 618. New York: Oxford University Press. ISBN 0199255911"
wals[619],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 619. New York: Oxford University Press. ISBN 0199255911"
wals[620-623],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 620-623. New York: Oxford University Press. ISBN 0199255911"
wals[620],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 620. New York: Oxford University Press. ISBN 0199255911"
wals[623-624],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 623-624. New York: Oxford University Press. ISBN 0199255911"
wals[623],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 623. New York: Oxford University Press. ISBN 0199255911"
wals[624-625],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 624-625. New York: Oxford University Press. ISBN 0199255911"
wals[624],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 624. New York: Oxford University Press. ISBN 0199255911"
wals[625-626],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 625-626. New York: Oxford University Press. ISBN 0199255911"
wals[625],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 625. New York: Oxford University Press. ISBN 0199255911"
wals[626],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 626. New York: Oxford University Press. ISBN 0199255911"
wals[627-628],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 627-628. New York: Oxford University Press. ISBN 0199255911"
wals[627],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 627. New York: Oxford University Press. ISBN 0199255911"
wals[628-629],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 628-629. New York: Oxford University Press. ISBN 0199255911"
wals[628],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 628. New York: Oxford University Press. ISBN 0199255911"
wals[629-630],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 629-630. New York: Oxford University Press. ISBN 0199255911"
wals[629],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 629. New York: Oxford University Press. ISBN 0199255911"
wals[630-631],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 630-631. New York: Oxford University Press. ISBN 0199255911"
wals[630],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 630. New York: Oxford University Press. ISBN 0199255911"
wals[631-632],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 631-632. New York: Oxford University Press. ISBN 0199255911"
wals[631],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 631. New York: Oxford University Press. ISBN 0199255911"
wals[632],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 632. New York: Oxford University Press. ISBN 0199255911"
wals[633-634],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 633-634. New York: Oxford University Press. ISBN 0199255911"
wals[633],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 633. New York: Oxford University Press. ISBN 0199255911"
wals[634],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 634. New York: Oxford University Press. ISBN 0199255911"
wals[635-636],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 635-636. New York: Oxford University Press. ISBN 0199255911"
wals[635],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 635. New York: Oxford University Press. ISBN 0199255911"
wals[636],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 636. New York: Oxford University Press. ISBN 0199255911"
